,Region,RegionCode,RegionName,T,Nuts0,Nuts1,sp61,tc,tc_ratio,tl_min,tl_mean,tl_max,sp61_n,sp61_d,tl_min_n,tl_min_d,tl_mean_n,tl_mean_d,tl_max_n,tl_max_d,tc_n,tc_d,tc_ratio_n,tc_ratio_d,sp61_resi_n,sp61_resi_d_alt,sp61_resi_d,sp61_resi,sp61_resi_alt,sp61_resi_regional,sp61_resi_regional_alt,sp61_resi_regional_alt_cont,key,population,empden,labprod,unemployment,tl_diff
10,R22,CZ02,Stredni_Cechy,2000,CZ,CZ0,8.241308195324365,2.1310050713422393,1.3499083029572418,4.352888339510276,5.532018129381522,6.024050150069169,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,CZ022000,1111354,4.767676393849114,0.014071666990102854,7.5,1.6711618105588935
11,R23,CZ03,Jihozapad,2000,CZ,CZ0,8.207543734630143,2.1180515549101497,1.3827191781992918,4.328669619875875,5.371606548534307,5.8549510176693875,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,CZ032000,1177982,3.2801963782507575,0.012882425433113055,6.0,1.5262813977935128
12,R24,CZ04,Severozapad,2000,CZ,CZ0,8.062591093909324,2.1162337838220187,1.3904290930742162,4.298164606581358,5.354259047767008,5.896563882522805,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,CZ042000,1131974,5.707008772757288,0.01275444214876033,15.0,1.5983992759414463
13,R25,CZ05,Severovychod,2000,CZ,CZ0,8.424682231949493,2.142511786675896,1.41227090326936,4.294807337553756,5.422338028310091,5.874175554209949,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,CZ052000,1489407,5.61736350141107,0.012681646580514013,6.8,1.579368216656193
14,R26,CZ06,Jihovychod,2000,CZ,CZ0,8.518695515104675,2.1054609517823737,1.3652583138019434,4.272349170386917,5.4108270957565745,5.926999255404958,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,CZ062000,1658761,5.515854804519329,0.0125351294241944,7.1,1.6546500850180408
15,R27,CZ07,Stredni_Morava,2000,CZ,CZ0,8.11805061496787,2.1254623995773567,1.409121023795556,4.224042979884463,5.3774932936371345,5.824622407358539,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,CZ072000,1240355,5.9811775686396516,0.01207594278283485,10.9,1.6005794274740754
16,R28,CZ08,Moravskoslezko,2000,CZ,CZ0,8.06183255052594,2.09071213513297,1.4158331910536825,4.226513405669559,5.23276056962743,5.656317209989333,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,CZ082000,1281410,9.64214163618652,0.012287438048036598,14.1,1.429803804319774
17,R73,EE00,Eesti,2000,EE,EE0,8.000921284025582,1.8983272247918836,1.3490744646080082,3.7142729420734604,4.863143248685196,5.596402219550673,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,EE002000,1401250,1.3492666528516497,0.010531825938566552,13.4,1.8821292774772127
18,R95,FI19,LansiSuomi,2000,FI,FI1,9.49237812567331,2.0721113487585745,1.9324923168184962,3.163556421598085,4.603551595824945,5.415437149597847,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,FI192000,1317215,1.0033375947010323,0.051787155806396444,11.5,2.2518807279997617
19,R97,FI20,Aland,2000,FI,FI2,5.75501299612374,2.6999520241965786,8.700454953976589,0.9999999999999982,4.050209825014279,5.100480704822425,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,FI202000,25706,0.8909269570913856,0.05937205882352942,,4.100480704822427
20,R134,HU21,KozepDunantul,2000,HU,HU2,7.890007228694553,2.1736239514521127,1.863585870282951,3.6068379730868454,4.745485593933226,5.582556964441771,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,HU212000,1119047,3.985616620793749,0.012047582980619292,5.2,1.9757189913549258
21,R135,HU22,NyugatDunantul,2000,HU,HU2,8.008397072238552,2.053047760390993,1.5804205986085287,3.596051094264382,4.879117957705534,5.784942802407223,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,HU222000,1004598,3.7864424968699693,0.013617406707605102,4.4,2.188891708142841
22,R136,HU23,DelDunantul,2000,HU,HU2,7.543448247998306,2.064180841757728,1.677204508491871,3.551903491106991,4.805349670574908,5.596767463792112,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,HU232000,999690,2.46453525301715,0.010679553264604812,7.9,2.044863972685121
23,R137,HU31,eszakMagyarorszag,2000,HU,HU3,7.608864449281291,2.123886765222073,1.8204884324885493,3.5092429752128123,4.77044098292315,5.60698043542147,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,HU312000,1304597,3.1044753890833268,0.009904149676181338,10.0,2.0977374602086574
24,R138,HU32,eszakAlfold,2000,HU,HU3,7.8351942455004915,2.073252619763023,1.6655330375988635,3.563068911486304,4.839023229919296,5.660767506405118,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,HU322000,1564136,2.766137208516391,0.010608104255752393,9.7,2.0976985949188136
25,R139,HU33,DelAlfold,2000,HU,HU3,7.874728948640942,2.0850280115694084,1.6251892129020582,3.628159263505204,4.889455837916976,5.6961700979251715,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,HU332000,1383497,2.713770885661243,0.010217203219315895,5.0,2.0680108344199675
26,R142,ITC1,Piemonte,2000,IT,ITC,10.879952239460646,1.8578844987130998,1.2967096579274129,3.2351400803081685,4.901902856156174,5.737207719158821,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,ITC12000,4225083,7.077282053345134,0.05666959413369713,6.6,2.5020676388506526
27,R143,ITC2,Valle_dAosta_Vallee_dAoste,2000,IT,ITC,7.353248217896737,2.570852576573446,3.993063241640408,3.33116420814594,4.659831773227229,5.229284915693801,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,ITC22000,118861,1.6702686014201915,0.06360443622920517,,1.8981207075478608
28,R144,ITC3,Liguria,2000,IT,ITC,9.808478235651515,2.620426529679774,3.466156584236467,3.2215220414450956,4.9752702598733,5.552321526115469,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,ITC32000,1587787,11.075652337150366,0.061982491525423726,9.2,2.330799484670373
29,R145,ITC4,Lombardia,2000,IT,ITC,11.82006378052823,1.9903056665899121,1.5327880275647303,3.511325721546573,4.875388410702383,5.616812995281988,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,ITC42000,8971148,16.869298245614033,0.0675631740419115,4.4,2.105487273735415
30,R155,ITF1,Abruzzo,2000,IT,ITF,9.436934453318651,2.821858549936658,4.341569653973568,3.413742761523405,4.94492293008021,5.572781692325786,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,ITF12000,1261117,4.206185567010309,0.05371399286987522,7.5,2.159038930802381
31,R156,ITF2,Molise,2000,IT,ITF,7.9876832710688985,3.112294519073206,7.3789183979846955,3.6579958489922904,4.905806747181664,5.446156872718243,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,ITF22000,322772,2.4902812714383717,0.0497900826446281,13.4,1.7881610237259524
32,R157,ITF3,Campania,2000,IT,ITF,10.573108859568581,2.288513214423832,2.450301150124199,3.1255042788170786,4.908379439000394,5.5502740540263655,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,ITF32000,5717694,11.685703620754012,0.053041998338976555,23.2,2.424769775209287
33,R158,ITF4,Puglia,2000,IT,ITF,10.310831682380046,2.3750211930142657,2.706991718604037,3.110960259391709,4.928295700676548,5.557496451842814,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,ITF42000,4034887,6.29835980213486,0.04773576388888889,17.3,2.4465361924511053
34,R159,ITF5,Basilicata,2000,IT,ITF,8.46799080546478,2.943838952182189,6.493575607649811,3.475676263186774,4.885536367018863,5.492071313049131,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,ITF52000,601399,1.8779584276600123,0.053824767123287674,17.1,2.0163950498623566
35,R160,ITF6,Calabria,2000,IT,ITF,9.597942402072615,1.972905138993775,1.6379248136642304,3.4580602247167604,4.8380134856467825,5.688175083552196,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,ITF62000,2028592,3.6218817787418653,0.049155661613325845,27.3,2.230114858835435
36,R161,ITG1,Sicilia,2000,IT,ITG,10.497141573924043,1.9750936552414162,1.7129055305098428,3.2440008183521964,4.813023196435443,5.653731114243359,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,ITG12000,4994427,5.308267716535433,0.051383023066083215,23.8,2.409730295891163
37,R162,ITG2,Sardegna,2000,IT,ITG,9.525840031456577,1.9687511974389726,1.602836578573675,2.9866200460113164,4.729764511115071,5.508303531835025,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,ITG22000,1638573,2.1559517830236063,0.04855352358765288,20.1,2.5216834858237083
38,R164,LU00,Luxembourg_GrandD,2000,LU,LU0,9.264418121856611,1.8197559037781368,1.5464711932434498,3.186322073779411,4.343135087640091,5.057162508492118,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,LU002000,433600,6.995359628770302,0.1270648424543947,2.3,1.8708404347127066
39,R165,LV00,Latvija,2000,LV,LV0,8.314845738196063,1.7545983475322895,1.3396113298123988,3.532552836004355,4.490029346139396,5.129577897289829,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,LV002000,2381715,1.5116391074008668,0.009160917587085812,14.2,1.5970250612854744
40,R166,MT00,Malta,2000,MT,MT0,7.666633587471067,2.1017430262921453,2.025997418586178,3.0766337464270235,4.581268206392666,5.888734237497601,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,MT002000,380201,45.37389100126742,0.030763966480446926,6.3,2.812100491070577
41,R167,NL11,Groningen,2000,NL,NL1,9.085190937206352,1.8293591329858978,1.6847855185191722,3.322306485152592,4.556660059270357,5.838127089183308,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,NL112000,562646,11.26351322480024,0.0649,4.4,2.515820604030716
42,R168,NL12,Friesland,2000,NL,NL1,8.77054506032877,1.942696618613235,2.0323175349713214,3.320034708471036,4.413495457518904,5.6462497085406,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,NL122000,624500,8.747580044676099,0.0417638406537283,4.5,2.3262150000695634
43,R169,NL13,Drenthe,2000,NL,NL1,8.47451563341865,1.9559585978974667,2.050763106195435,3.348679907739113,4.419186221641729,5.700687097499891,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,NL132000,469806,8.39530406553169,0.04369977517985611,3.5,2.352007189760778
44,R170,NL21,Overijssel,2000,NL,NL2,9.3175594308026,1.999599898342108,2.096279709168824,3.347734700038082,4.3957863401529,5.438383942503403,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,NL212000,1077625,15.83096058744193,0.046689303294206744,2.6,2.090649242465321
45,R171,NL22,Gelderland,2000,NL,NL2,9.831857371263755,1.919022122172618,2.0564820027478423,3.342077745162416,4.305295136662963,5.293215775504453,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,NL222000,1919158,18.985309464558078,0.04840816067653277,2.5,1.9511380303420367
46,R172,NL23,Flevoland,2000,NL,NL2,7.9532979537936255,2.2412310451564403,2.9648688983558285,3.3928852242760206,4.2470368166516055,5.332425216760545,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,NL232000,317206,11.730349729083105,0.0415378524295141,3.8,1.9395399924845247
47,R173,NL31,Utrecht,2000,NL,NL3,9.684676898475903,1.8611514450165476,1.946040895860598,3.3216753681575675,4.4002735657865975,5.468687475957867,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,NL312000,1107849,42.386680357928704,0.0718183941858453,2.1,2.1470121078002995
48,R174,NL32,NoordHolland,2000,NL,NL3,10.406387925657446,1.8322614054946758,1.791051740784899,3.3447103015888144,4.410093718724887,5.443153275365342,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,NL322000,2518354,47.40882917466411,0.07196369770580296,2.7,2.0984429737765273
49,R175,NL33,ZuidHolland,2000,NL,NL3,10.643116303076646,1.8855102863590214,1.767266082008197,3.3745110536404184,4.490500253368113,5.570898686678992,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,NL332000,3397744,59.18032786885246,0.05936367065480049,2.7,2.196387633038573
50,R176,NL34,Zeeland,2000,NL,NL3,8.383922262621208,2.005137056900533,1.9757927775409387,3.450298271911891,4.4341733856279655,5.660032330359831,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,NL342000,371866,9.703683190252008,0.04415702054794521,3.4,2.2097340584479404
51,R177,NL41,NoordBrabant,2000,NL,NL4,10.287082603959805,1.9061894330114204,1.8176080623237278,3.375600973814124,4.431496094944076,5.53255423985026,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,NL412000,2356004,23.985150021301198,0.05566255603484733,2.1,2.156953266036136
52,R178,NL42,Limburg_NL,2000,NL,NL4,9.43193180163333,1.8908829570744168,1.9039520000003254,3.3352317340531523,4.375822222312176,5.489596791815789,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,NL422000,1141192,25.290012478624586,0.04908603801169591,2.7,2.1543650577626363
53,R207,SE11,Stockholm,2000,SE,SE1,10.293881742462222,1.7543377838021426,1.646602717102148,3.2027699520617414,4.0760798915499565,5.007055038716651,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,SE112000,1803377,14.360437470280552,0.08822700277718436,3.2,1.8042850866549092
54,R208,SE12,ostra_Mellansverige,2000,SE,SE1,9.577649288670905,1.8839799248520552,1.8809838105757393,3.347676285884303,4.112779577703561,4.751725734875687,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,SE122000,1490348,1.7926615104876267,0.05915165438520445,5.5,1.4040494489913837
55,R209,SE21,Sydsverige,2000,SE,SE2,9.453934019037394,1.7034961974723686,1.6268229441081237,3.1674516456574655,4.145443083370853,4.929484508602715,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,SE212000,798344,1.1082044328177312,0.06117885760693016,4.4,1.7620328629452495
56,R210,SE22,Norra_Mellansverige,2000,SE,SE2,9.043513319106985,1.899733239465673,1.9276427850873727,3.3334887202914985,4.1457698670305065,4.849332244507211,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,SE222000,1274411,3.9328856180402085,0.06823302418621567,7.3,1.515843524215713
57,R211,SE23,Mellersta_Norrland,2000,SE,SE2,8.319405841773333,2.306853827192509,2.7498692878234636,3.6604398039930244,4.326813944423358,4.992426175143086,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,SE232000,1762246,2.7836982496932117,0.06625661252900232,5.2,1.3319863711500615
58,R212,SE31,ovre_Norrland,2000,SE,SE3,8.536883872945939,1.9146881839583119,1.9910212168692945,3.416812485710661,4.196136685513788,4.813785537555333,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,SE312000,837892,0.5802741181802554,0.060429167788849984,6.7,1.3969730518446717
59,R213,SE32,Smaland_med_oarna,2000,SE,SE3,9.093420772841428,1.731639428106386,1.6520583138718399,3.0891129045097045,4.204564059731567,5.006675134639277,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,SE322000,380004,0.23328959446750272,0.06513898611949306,7.6,1.9175622301295725
60,R214,SE33,Vastsverige,2000,SE,SE3,9.863397272796785,1.6511561538314063,1.5150146115663508,3.169266131121502,4.21362461685012,5.008969304493791,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,SE332000,514804,0.14455284097167143,0.06277240757439134,9.0,1.8397031733722886
61,R216,SK01,Bratislavsky_kraj,2000,SK,SK0,8.053185519906707,2.0225166463464954,1.2582246725968285,4.128125753470766,5.379628950275703,6.8738924868733156,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,SK012000,616982,15.148563078421823,0.01859588424437299,7.5,2.74576673340255
62,R217,SK02,Zapadne_Slovensko,2000,SK,SK0,8.351208863489427,2.088533143183277,1.2940225482762002,4.141886670247111,5.489790998687618,6.870119217302729,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,SK022000,1876416,4.8762755952777965,0.009864902202161126,17.6,2.728232547055618
63,R218,SK03,Stredne_Slovensko,2000,SK,SK0,7.792577117542319,2.196845161780387,1.5069585327774822,3.96658029893646,5.415250108664364,6.668616587521036,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,SK032000,1355514,3.1096472326540665,0.009065868144921798,21.0,2.7020362885845763
64,R219,SK04,Vychodne_Slovensko,2000,SK,SK0,7.864595515056352,2.134259024324768,1.4111524405747036,4.0525611311359375,5.392165029208939,6.68408275592377,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,SK042000,1549745,3.4040391210466145,0.008982108208955224,24.6,2.6315216247878324
65,R1,AT11,Burgenland,2001,AT,AT1,7.729388328280942,1.940299050973157,2.071431660265868,3.105630945794058,4.3415004167839895,5.651135325184611,1.0561412804406134,0.056141280440613395,1.0251871141968076,0.025187114196807636,1.0313297630464393,0.03132976304643931,1.0229255115979454,0.022925511597945425,1.032636590275673,0.032636590275672894,1.0019116630579314,0.0019116630579314453,1.0561412804406134,0.056141280440613395,0.056141280440613395,1.0,1.0,1.0,1.0,0.3288749077044319,AT112001,275956,3.250978803834211,0.04119036544850498,5.0,2.545504379390553
66,R2,AT12,Niederosterreich,2001,AT,AT1,9.661285354396123,1.9321651742913961,1.8485159836975773,3.1673022590562514,4.444747128781207,5.683251210891399,1.0075803821066867,0.007580382106686656,1.025743763805375,0.02574376380537502,1.0226626849239577,0.022662684923957732,1.0217202692697014,0.021720269269701387,1.0199535175584793,0.019953517558479295,1.0031042625950068,0.003104262595006846,1.0075803821066867,0.007580382106686656,0.007580382106686656,-1.0,-1.0,-1.0,0.0,-0.8205708973267319,AT122001,1539416,3.6882235760973527,0.04887919770773639,3.2,2.5159489518351474
67,R3,AT13,Wien,2001,AT,AT1,10.090020721195677,1.8401276218746883,1.9287143266098297,3.0850335206652053,4.218443645422683,4.8698614773326785,1.079467306823694,0.07946730682369396,1.0069307445716429,0.006930744571642888,1.0329293754097435,0.0329293754097435,1.02307929662402,0.023079296624020085,1.0184321334402822,0.01843213344028216,0.9742049523424768,-0.025795047657523162,1.079467306823694,0.07946730682369396,0.07946730682369396,1.0,1.0,1.0,1.0,0.8810064393269881,AT132001,1553956,191.80121089808276,0.07870974615283441,6.0,1.7848279566674732
